tech_id,bottleneck_id,tech_name,principle,trl,trl_basis,developers,decisive_milestone,remaining_hard_problems,commercialization_from,commercialization_to,commercialization_reasoning,failure_scenario,attacks_axis,depends_on,modality_scope,evidence_ids,notes
T-024,B5,"Expedited-review instruments: Commissioner's National Priority Voucher, platform technology designation, priority review vouchers","Ration a scarce reviewer-attention resource explicitly by issuing transferable or awarded entitlements to accelerated review, and let prior knowledge about a shared platform carry across products so that each subsequent product on the same platform requires less new review.",7,"Priority review vouchers are a decade-old operating programme and platform technology designation is in force; the CNPV pilot is newly launched and unproven, so the class as a whole is demonstrated in the operational environment. [E-8046][E-8062]",FDA Office of the Commissioner; U.S. Congress; sponsors and voucher purchasers; CBER for platform technology designation,"Published data show that products reviewed under CNPV reached their action date a median of at least 120 days earlier than matched non-voucher products, with post-market safety label changes within two years no higher than the matched comparator group; checkable by 2029.","Accelerating one application consumes the same reviewer pool, so vouchers reallocate rather than expand capacity unless total reviewer headcount grows; and there is no published evidence that compressed review preserves detection of safety signals.",2012,2027,"Voucher programmes are operating now, with the pediatric programme reauthorised to 2029 and the CNPV pilot running; the open question is measured effect, not availability.","Vouchers move a few products forward and push everything else back, so total approvals per year are unchanged and the instrument becomes a transfer of value to voucher sellers rather than a capacity increase.",T,B13,all modalities,E-8046;E-8062,"zero-sum unless reviewer headcount grows: this is capacity reallocation, not capacity creation Milestone quantified per X-25."
T-025,B5,Machine-readable regulatory submissions built on structured study definitions,"Carry the protocol, schedule of activities and analysis definitions as structured data from authoring through to submission, so that a reviewer receives queryable objects rather than a PDF and consistency checks are automated rather than manual.",5,"USDM v4 and CDISC 360i reference implementations exist and produce machine-readable JSON, but no regulator accepts a structured study definition as the submission of record; validated in a relevant environment only. [E-8081][E-8082]",CDISC; TransCelerate BioPharma Digital Data Flow initiative; FDA and PMDA standards groups; eCTD vendors,"A regulator accepts a structured study definition as the authoritative protocol representation in a marketing application, not merely as a supplementary file; checkable by 2031.","The standard must represent the full space of adaptive and complex designs without becoming so permissive that it stops being machine-checkable; and legacy submissions in unstructured form will coexist for a decade, so reviewers must operate both workflows.",2028,2034,"CDISC 360i Phase 2 specifications complete in 2026, followed by vendor implementation, sponsor migration and then regulatory acceptance; each stage historically runs multiple years in this standards domain.","Sponsors generate the structured artefact as a by-product of the PDF they still write, so the structure is unreliable, reviewers do not trust it, and the standard becomes compliance overhead.",T;C,B16,all modalities,E-8081;E-8082,
T-026,B6,Cell-free enzymatic DNA (doggybone DNA) replacing plasmid DNA - SHARED INPUTS,"Amplify a linear covalently closed DNA construct enzymatically in vitro instead of growing it in bacteria, removing fermentation, bacterial backbone, antibiotic resistance genes and endotoxin from the critical starting material for every viral vector, mRNA and cell therapy product.",8,"FDA Drug Master File acceptance reported in 2022 and a cell-free DNA GMP licence reported in 2025, with a benchtop kit commercialised through New England Biolabs in March 2026; proven in a commercial GMP operation, not 9 because no approved product yet uses it as its critical starting material. [E-8020][E-8021]",Touchlight Genetics; New England Biolabs; Ansa Biotechnologies; 4basebio; contract manufacturers adopting cell-free DNA,A licensed advanced therapy or mRNA product is approved with enzymatically produced DNA named as the critical starting material in the approved CMC section; checkable by 2031 from approval documents.,"Linear DNA behaves differently from supercoiled plasmid in transfection and in AAV packaging, so process re-optimisation is required per product; enzymatic amplification fidelity across long or repetitive constructs must be demonstrated at commercial scale; and comparability bridging for products already in clinic is a full regulatory exercise.",2026,2031,"GMP supply exists now, so the gating factor is that a product must complete development using it; a programme starting today reaches approval in roughly five to seven years.","Sponsors already in clinic will not undertake comparability bridging, so adoption is limited to new programmes and the installed plasmid base persists for a decade.",T;C,,"gene therapy, mRNA, cell therapy, DNA vaccines - shared input across all",E-8020;E-8021,SUB-AREA: shared inputs (plasmid/starting material)
T-027,B6,Robotic gloveless isolator aseptic fill-finish with small-batch and on-demand filling - SHARED INPUTS,"Remove the human operator from the aseptic core entirely by using robots inside a sealed decontaminated isolator, which eliminates the dominant contamination vector, permits far smaller economically viable batch sizes, and allows rapid product changeover for the many small-volume products that now dominate pipelines.",7,"Robotic isolator systems are installed and running commercially, and FDA has cited gloveless isolators as a way to streamline CMC development; demonstrated in the operational environment with capacity expansion underway. [E-8027]","Cytiva, Syntegon, Vanrx/Cytiva SA25, IMA, Steriline as equipment suppliers; CordenPharma and other fill-finish CDMOs; FDA Emerging Technology Program",A CDMO publicly reports routine multi-product changeover within a single shift on a robotic isolator line supporting commercial supply of more than five distinct products; checkable by 2029.,Environmental monitoring and media-fill validation standards were written for human-operated cleanrooms and translate awkwardly to robotics; Annex 1 contamination control strategy expectations for robotic systems are still being interpreted; and highly potent or cell-based products need containment approaches that conflict with the sterility design.,2026,2031,Equipment is commercially available now and capacity investment is underway; the window reflects the time for installed base to reach a scale where small-batch filling stops being a scheduling bottleneck.,"Capital cost per line keeps the technology concentrated in a few large CDMOs, so small-volume products still queue behind large-volume campaigns and access does not improve.",T;C,,"all injectable modalities; especially cell and gene therapy, ADC, mRNA",E-8027,SUB-AREA: shared inputs (fill-finish)
T-028,B6,Stable AAV producer cell lines with high-cell-density perfusion - VIRAL VECTOR,"Integrate rep, cap, helper functions and the transgene into a suspension-adapted mammalian cell line so that AAV is produced by simple induction at high cell density under perfusion, eliminating the triple plasmid transfection whose reagent cost and batch variability dominate viral vector economics.",7,"A peer-reviewed process reports 3- to 6-fold titre increases reaching about 1e12 genome copies per mL confirmed in bioreactor, and commercial platform cell lines are licensed to developers; demonstrated in the operational environment but no approved AAV product yet uses a stable producer line. [E-8022][E-8023]",Cytiva (ELEVECTA); Ultragenyx; Pfizer and other sponsors with internal producer lines; Oxford Biomedica and other vector CDMOs,"An approved AAV gene therapy is manufactured on a stable producer cell line process at commercial scale, disclosed in the approved CMC section; checkable by 2031.","Genetic stability of integrated rep and cap over the many generations needed for commercial scale is the core unsolved problem, since rep is cytostatic; each new transgene requires a new cell line and a new development cycle, which reverses the platform advantage; and full-versus-empty capsid ratio is not necessarily improved.",2027,2033,"Processes are validated at bioreactor scale now, but a producer line must be built into a programme from IND onward and carried through approval, which is a five- to eight-year sequence.","Per-transgene cell line development takes longer than the transient process it replaces, so sponsors use stable lines only for products that reach large commercial volume - which almost no gene therapy does.",T;C;P,,AAV gene therapy,E-8022;E-8023,SUB-AREA: viral vector. Modality spread noted by Agent G is real: this is a vector-specific lever with no read-across to mAb
T-029,B6,AAV process intensification: perfusion bioreaction with integrated continuous clarification - VIRAL VECTOR,"Run the production bioreactor in perfusion at high cell density and take harvest continuously into an integrated clarification train, so that product is removed from the degradative culture environment as it forms and the facility footprint per dose falls.",6,"Perfusion AAV processes with integrated clarification are published and running at pilot and clinical-supply scale; validated in a relevant environment and entering operational use, but not established as a licensed commercial process. [E-8022]","Academic and industrial bioprocess groups publishing in Frontiers in Bioengineering; Sartorius, Repligen and Cytiva as equipment suppliers; vector CDMOs",A vector CDMO publishes commercial-scale cost of goods per dose for a perfusion-plus-continuous-clarification AAV process that is at least half its batch process baseline; checkable by 2030.,AAV is shear- and pH-sensitive and continuous handling extends residence time in suboptimal conditions; continuous clarification of a lysate containing host cell DNA and empty capsids is far harder than clarifying a secreted protein; and full-versus-empty separation remains a batch chromatography step that breaks continuity.,2027,2032,The unit operations exist; integration and validation of a continuous train under GMP typically takes three to five years from pilot demonstration to licensed process.,"Downstream full-versus-empty separation stays batch and stays the bottleneck, so upstream intensification produces more crude material that the purification train cannot absorb.",T;C,,AAV and lentiviral gene therapy,E-8022,SUB-AREA: viral vector
T-030,B6,In vivo CAR-T: eliminating per-patient cell manufacturing entirely - AUTOLOGOUS CELL THERAPY,"Deliver the CAR construct to T cells inside the patient using a targeted lipid nanoparticle carrying mRNA or a receptor-retargeted lentiviral vector, so that there is no apheresis, no ex vivo expansion, no cryopreservation and no per-patient batch record - the product becomes a vial rather than a manufacturing campaign.",6,"Multiple Phase 1 programmes are enrolling with both LNP-mRNA and lentiviral approaches, and one developer was acquired by a large pharmaceutical company; demonstrated in a relevant clinical environment with no efficacy or durability readout at pivotal scale. [E-8014][E-8015][E-8089]",Capstan Therapeutics (Eli Lilly); Umoja Biopharma (with Bristol Myers Squibb); Interius BioTherapeutics; EsoBiotec (AstraZeneca); Orna Therapeutics; Kelonia,"A randomised or single-arm pivotal trial of an in vivo CAR product reports response rates within range of approved autologous CAR-T in the same indication, with no manufacturing failures and no requirement for apheresis; checkable by 2030.",Achieving sufficient transduction of the right T cell subset in vivo without transducing off-target cells is unsolved at therapeutic dose; transient mRNA CARs may not persist long enough for durable remission while integrating vectors carry insertional risk without the ex vivo release testing that currently mitigates it; and cytokine release cannot be dose-titrated once the vector is administered.,2029,2034,"Phase 1 data are emerging now; a first approval requires a pivotal trial plus review, which from current Phase 1 status is typically four to seven years.","In vivo transduction efficiency in humans proves an order of magnitude below the mouse data, so the CAR cell dose achieved is subtherapeutic, and raising the vector dose triggers hepatotoxicity or complement activation.",T;C;P,B7,"autologous cell therapy, redirected to a delivery problem",E-8014;E-8015;E-8089,SUB-AREA: autologous cell therapy. DEPENDENCY: this technology converts a manufacturing bottleneck (B6) into a targeted-delivery bottleneck (B7) - it presupposes B7 is solved
T-031,B6,Sub-24-hour and next-day automated closed-system CAR-T manufacture - AUTOLOGOUS CELL THERAPY,"Skip prolonged ex vivo activation and expansion, transduce freshly isolated T cells and return them within a day or three inside a closed automated cassette, so that vein-to-vein time collapses, the product retains a stem-like memory phenotype, and manufacturing slots per cleanroom per year multiply.",6,"A sub-24-hour platform has Phase I clinical validation with 23 of 25 patients achieving MRD-negative complete remission at day 14, and a 72-hour automated workflow is in Phase 1/2; demonstrated clinically but not yet supporting an approved product. [E-8024][E-8025]","Gracell/AstraZeneca (FasT CAR); Lonza (Cocoon); Miltenyi Biotec (CliniMACS Prodigy); Galapagos (GLPF5101, ATALANTA-1); academic decentralised manufacturing programmes",A rapid-manufactured CAR-T product is approved with a labelled vein-to-vein time under one week and a manufacturing success rate above 95 percent; checkable by 2030.,"Release testing - sterility in particular - has historically taken longer than the new manufacturing time, so the bottleneck moves to quality control; potency assays for a minimally expanded product are not established; and decentralised point-of-care manufacture raises comparability questions across sites that no regulator has fully answered.",2027,2031,Clinical validation exists now and multiple programmes are in Phase 1/2; approval of a rapid-manufactured product plausibly lands in the late 2020s.,"Rapid sterility testing is not qualified in time, so the product still waits days for release and the clinical advantage of speed evaporates while the cost advantage is offset by decentralisation overhead.",T;C;P,,autologous CAR-T and TCR-T,E-8024;E-8025,SUB-AREA: autologous cell therapy
T-032,B6,Integrated continuous bioprocessing with N-1 perfusion intensification - BULK API / mAb,"Hold the seed train at very high density under perfusion so the production bioreactor is inoculated 5- to 10-fold denser, shortening the production phase, and connect the bioreactor to continuous capture chromatography so product leaves the reactor as it forms rather than accumulating.",7,"Intensified perfusion seed trains and perfusion-to-continuous-capture are running in commercial biomanufacturing, while fully end-to-end continuous drug substance has been shown only at pilot scale; the hybrid is operational, the full concept is not. [E-8026][E-8093]","Amgen, Genentech and Sanofi process development groups; Merck KGaA and Cytiva as suppliers; IIT Delhi (Rathore group); FDA Emerging Technology Program",A regulator approves a licensed commercial mAb process that is continuous from bioreactor through polishing with no intermediate hold tanks; checkable by 2031 from approval documents.,"Viral clearance validation assumes discrete batch boundaries, and defining a batch in a continuous process is a regulatory and quality question that has no settled answer; continuous polishing and viral inactivation lag continuous capture; and a continuous train has no recovery path from a mid-run deviation.",2026,2032,"Hybrid intensification is deployed now; end-to-end continuity requires the batch-definition and viral-clearance questions to be resolved, which is a regulatory-science timeline rather than an engineering one.","The industry concludes that intensified batch captures most of the economic benefit at a fraction of the regulatory risk, and end-to-end continuous never becomes standard - a conclusion already argued in the 2026 literature.",T;C,B5,monoclonal antibody and recombinant protein bulk drug substance,E-8026;E-8093,"SUB-AREA: bulk API/mAb. Note: mAb manufacturing is the sub-area with the most spare capacity, so improvements here have the weakest system effect"
T-033,B6,"Digital twins, AI soft sensors and PAT for real-time release - BULK API / mAb","Run a mechanistic-plus-data hybrid model of the process in parallel with the physical process, fed by inline spectroscopy, so that critical quality attributes are inferred continuously and release can be based on demonstrated process state rather than on end-of-batch testing.",5,"Digital twins and AI soft sensors are described as accelerating technologies in current bioprocessing practice and are running in process development, but real-time release of a biologic on model-inferred quality attributes is not established practice; validated in a relevant environment. [E-8026][E-8093]","Sartorius, Cytiva and Siemens as platform vendors; Amgen and Merck process analytics groups; NIIMBL projects; academic process systems engineering groups",A licensed biologic is released commercially on a real-time release testing strategy where a model-inferred attribute substitutes for a compendial release assay; checkable by 2031.,"Model drift over a product's commercial life must be detected and managed under a change control regime designed for fixed processes; inline spectroscopy has poor sensitivity for the low-abundance attributes that matter most, such as aggregates and host cell protein; and validating a model whose predictions are correlated with, but not identical to, the assay it replaces requires an equivalence standard that does not exist.",2029,2035,"Real-time release for small molecules took roughly fifteen years from PAT initiative to routine use; biologics attributes are harder to measure inline, so a later window is warranted.","Regulators require the confirmatory assay to be run anyway as a model-monitoring control, so real-time release delivers information rather than cycle time.",T;C,B5;B10,"monoclonal antibody, recombinant protein; extensible to cell and gene therapy",E-8026;E-8093,SUB-AREA: bulk API/mAb
T-034,B6,Site-specific enzymatic and bioorthogonal ADC conjugation - ADC,"Attach the linker-payload at a defined engineered residue or enzymatically recognised motif rather than at stochastic lysines or reduced cysteines, producing a homogeneous drug-antibody ratio species so that purification is simpler, batch-to-batch variability falls and the therapeutic index is set by design rather than by an average.",7,"Site-specific conjugation dominates filings and publications from 2020-2025 and is offered as a commercial CDMO capability, and manufacturing rather than science is described as the ADC bottleneck; operational demonstration with approved products still dominated by stochastic conjugation. [E-8028]",Sutro Biopharma (non-canonical amino acids); Catalent/Lonza and other ADC CDMOs; Synaffix; Ambrx; Daiichi Sankyo and Seagen process groups,"An approved ADC manufactured by site-specific enzymatic conjugation reports a commercial batch failure rate below 5 percent and cost of goods per gram at least 25 percent below a stochastic-conjugation comparator, disclosed in a peer-reviewed or regulatory-visible source; checkable by 2030.","Optimal conjugation site depends on the specific linker-payload, so there is no universal site and each pairing needs empirical optimisation; antibody engineering to install the site can perturb Fc function or manufacturability; and high-potency payload containment limits which facilities can run any of it.",2026,2031,"The chemistry is commercially available now; the gate is that products designed with it must complete development, which is a five- to seven-year cycle from current pipeline positions.",Homogeneity turns out not to be the driver of clinical outcome - stochastic ADCs with careful payload choice perform comparably - so the added antibody engineering cost buys manufacturing elegance and no clinical differentiation.,C;P,,antibody-drug conjugates,E-8028;E-8100,SUB-AREA: ADC conjugation Milestone quantified per X-25.
T-035,B7,"Transferrin-receptor blood-brain-barrier shuttle biologics (Brainshuttle, transport vehicle)","Fuse a moderate-affinity transferrin receptor binder to a therapeutic antibody or protein so that receptor-mediated transcytosis carries it across brain endothelium, raising brain exposure by roughly an order of magnitude and allowing a lower systemic dose for the same central effect.",8,"CORRECTED under red-team finding X-24: the rating of 8 stands but the basis does not. Trontinemab's Phase 3 status supports 7 only. The formal decision that supports 8 is FDA's accelerated approval in March 2026 of tividenofusp alfa-eknm, an enzyme fused to a transferrin-receptor transport vehicle, for neurologic Hunter syndrome - an approved brain-shuttle biologic [E-8128]. Trontinemab's 91 percent amyloid PET negativity at 28 weeks [E-8016] remains supporting evidence for the platform, not the basis for the rating.",Roche/Genentech (Brainshuttle); Denali Therapeutics (transport vehicle platform); Biogen; JCR Pharmaceuticals; academic BBB transport groups,A brain-shuttle-enabled therapeutic is approved with a label claim its unshuttled parent could not support; checkable by 2029 from the trontinemab Phase 3 readout and subsequent regulatory action.,"Transferrin receptor is expressed on erythroid precursors, so affinity and valency must be tuned to avoid reticulocyte depletion; the shuttle raises brain exposure but does not control distribution within brain, so deep and white-matter regions may remain underdosed; and it works for proteins, not for the small molecules and oligonucleotides that many CNS targets require.",2027,2031,"A Phase 3 programme is running now; approval on a positive readout would follow within roughly two years, making late-decade commercialisation the central case.","The Phase 3 shows that raising brain exposure of an anti-amyloid antibody increases target engagement without a proportionate clinical benefit, which would indict the target rather than the shuttle - but would remove the commercial validation the platform needs.",P,,"antibodies, enzymes and protein therapeutics for CNS",E-8016;E-8017;E-8128,TRL basis corrected per X-24. Highest-TRL pure-P technology in the catalogue and now anchored on an approval rather than on trial stage.
T-036,B7,"Machine-learning-designed AAV capsids for CNS, muscle and liver detargeting","Generate and screen very large synthetic capsid libraries, train sequence-to-fitness models on the tropism and manufacturability data, and design capsids that cross the blood-brain barrier after intravenous dosing while detargeting liver, so that CNS gene therapy becomes systemic rather than intraparenchymal.",5,"Preclinical data in non-human primates and humanised-receptor mice are reported by multiple developers with 50-75 percent brain transduction claims and an IND anticipated in 2026; validated in a relevant environment, with no clinical data. [E-8018][E-8019]",Voyager Therapeutics (TRACER); Dyno Therapeutics; Broad Institute (Deverman laboratory); Caltech (Gradinaru laboratory); Novartis and Roche through partnerships,"A first-in-human trial of an intravenously dosed ML-designed CNS capsid reports central target engagement at a tolerated systemic dose, with a published biomarker or biopsy readout; checkable by 2029.","Non-human primate tropism has repeatedly failed to predict human tropism for capsids, and the humanised-receptor mouse only tests one receptor hypothesis; pre-existing neutralising antibodies exclude a large fraction of patients regardless of capsid design; and systemic dosing at CNS-effective levels concentrates dose-limiting hepatotoxicity and complement activation risk.",2030,2036,"IND filings are anticipated from 2026, so first-in-human data arrive in the late 2020s; a full clinical programme and approval adds five or more years.","The human readout repeats the historical pattern: a capsid selected in primates transduces human brain far less efficiently, and the required systemic dose reproduces the hepatotoxicity and complement problems that limit existing AAV.",P,B10;B6,"AAV gene therapy for CNS, muscle and eye",E-8018;E-8019,depends on capsid fitness datasets (B10) and on manufacturability at the higher systemic doses (B6)
T-037,B7,Selective organ targeting lipid nanoparticles (SORT and successors),"Add a fifth, charge-bearing lipid to the standard four-component LNP so that the protein corona formed in circulation directs the particle to lung, spleen or kidney rather than defaulting to hepatocytes, extending mRNA and siRNA therapeutics beyond the liver without a targeting ligand.",4,"Robust rodent data with 60-80 percent knockdown after single intravenous dose and up to 88 percent lung protein downregulation, published in peer-reviewed literature; laboratory proof of concept with no clinical translation of the organ-targeting principle. [E-8050]",UT Southwestern (Siegwart laboratory); ReCode Therapeutics; Ethris; academic LNP groups; several mRNA companies with internal programmes,"A SORT-type organ-selective LNP demonstrates extrahepatic target-gene knockdown or protein expression in humans at a tolerated dose, with a tissue or biomarker readout; checkable by 2030.","The mechanism depends on the protein corona, which differs between mouse and human plasma, so the organ selectivity may not transfer; repeat dosing of charged lipids raises immunogenicity and complement activation concerns that single-dose rodent studies do not surface; and selectivity is relative, not absolute, so liver exposure persists.",2031,2038,"No clinical demonstration of the organ-selectivity principle exists, and LNP programmes take five to eight years from IND to approval, so a product depending on this mechanism is late in the next decade.","Human protein corona differs enough that the selectivity collapses in first-in-human biodistribution imaging, and the field falls back to ligand-targeted particles.",P,,"mRNA, siRNA, gene editing payloads",E-8050,
T-038,B7,Antibody-targeted lipid nanoparticles for in vivo cell-type-specific delivery,"Decorate the LNP surface with a binder against a cell-surface marker such as CD8 or CD5, so that the particle is taken up preferentially by one lymphocyte subset and the mRNA payload is expressed only there, achieving cell-type specificity that lipid composition alone cannot deliver.",6,Lead candidates are in Phase 1 clinical evaluation and the leading developer was acquired by a large pharmaceutical company; demonstrated in a relevant clinical environment without efficacy readout. [E-8014][E-8089],Capstan Therapeutics (Eli Lilly); University of Pennsylvania (Weissman and June laboratories); Orna Therapeutics; several undisclosed pharma programmes,"A clinical readout showing target-cell-restricted transgene expression in humans with quantified off-target uptake, published or presented with the biodistribution data; checkable by 2029.","Targeting ligands accelerate clearance by the mononuclear phagocyte system, so the fraction reaching target cells can be very small; the surface binder makes the particle an immunogen, limiting repeat dosing; and manufacturing a decorated LNP with consistent ligand density at commercial scale is unproven.",2029,2034,"Phase 1 now; a first approval requires pivotal data and review, which is a four- to seven-year sequence from current stage.","Anti-drug antibodies against the surface binder develop after the second or third dose, so the platform is confined to single-administration indications, which excludes most of the autoimmune uses it is being developed for.",P,,mRNA and gene editing to immune cells; in vivo cell therapy,E-8014;E-8089,enabling technology for in vivo CAR-T (T-030)
T-039,B7,MR-guided focused ultrasound blood-brain-barrier opening,"Inject circulating microbubbles and apply low-intensity focused ultrasound under MRI guidance to a chosen brain volume, so that oscillating bubbles transiently loosen tight junctions and any co-administered drug enters that region - making the barrier a controllable variable rather than a property of the molecule.",6,"A sponsor-run Phase 1/2 in glioblastoma is published in Lancet Oncology, a Phase 2a in Alzheimer's disease is completed, and a randomised combination study appeared in NEJM; demonstrated in a relevant clinical environment, not yet approved for a drug-delivery indication. [E-8051][E-8052][E-8094]",Insightec; Sunnybrook Health Sciences Centre; West Virginia University Rockefeller Neuroscience Institute; Columbia University; Focused Ultrasound Foundation; University of Maryland and University of Virginia,"A randomised trial shows that adding focused-ultrasound barrier opening to a systemically dosed drug improves a clinical endpoint, not just drug concentration or an imaging biomarker; checkable by 2030.","The technique opens a treated volume, not the whole brain, so it suits focal disease and poorly suits diffuse neurodegeneration; each session requires MRI suite time and a trained team, which caps throughput at a level incompatible with chronic dosing; and long-term consequences of repeated barrier disruption, including inflammation and iron deposition, are uncharacterised.",2028,2034,"Clinical programmes are running now; a combination indication requires a randomised efficacy trial of the combination, which is a five- to eight-year path including regulatory novelty of a device-drug combination claim.","Increased drug concentration in the treated volume produces no clinical benefit because the limiting factor was target biology rather than exposure, and the procedure burden per session prevents adoption even where benefit exists.",P,,any systemically administered CNS agent; device-drug combination,E-8051;E-8052;E-8094,
T-040,B7,Tumour-penetrating peptides and stromal modulation for solid-tumour access,"Use a peptide that binds integrin on tumour endothelium and is then proteolytically converted to a neuropilin-1 ligand, triggering an active bulk transport pathway that carries co-administered payload deep into tumour parenchyma against the interstitial pressure gradient that normally confines it to the perivascular rim.",4,"Extensive preclinical demonstration across payload classes including oncolytic virus, bispecific engager and CAR-T co-administration; clinical translation of the penetration mechanism has not produced a positive controlled readout. [E-8053]",Sanford Burnham Prebys (Ruoslahti laboratory); DrugCendR; academic CAR-T solid tumour groups; several oncology companies with internal programmes,A randomised trial shows that co-administering a tumour-penetrating peptide with an approved agent improves response rate over that agent alone in a solid tumour; checkable by 2031.,"The bulk transport pathway is heterogeneous across tumours and across regions of the same tumour, so the effect size is unpredictable per patient; the same pathway can enhance delivery to normal tissue expressing neuropilin-1; and the peptide's short half-life makes co-administration timing critical and hard to standardise.",2031,2039,"Two decades of preclinical work have not yet produced a controlled clinical demonstration, which indicates a translational barrier rather than a development-timeline issue.",The effect is real in mouse tumours with their characteristically leaky vasculature and disappears in human tumours with dense desmoplastic stroma - the tumours where penetration matters most.,P,,"oncology: small molecule, ADC, cell therapy, oncolytic virus",E-8053,
T-041,B8,Machine-learning immunogenicity prediction and computational deimmunisation,"Predict which peptides from a biologic will be presented on MHC class II and drive T-cell help for an anti-drug antibody response, then redesign the sequence to remove those epitopes while preserving folding and affinity, so that immunogenicity is engineered out before the molecule is made.",6,"Commercial platforms are in routine industrial use with vendor-reported three-fold improvements in predicted-versus-observed ADA correlation, and a 2026 review documents the method class; demonstrated in a relevant environment, with predictive performance evidence controlled by the vendors. [E-8029]","EpiVax (ISPRI, EpiSweep lineage); Lonza Applied Protein Services; Abzena; academic immunoinformatics groups; large biologics developers with internal tools","A prospective, blinded comparison across at least thirty clinical-stage biologics, published independently of the tool vendors, showing predicted ADA incidence tracks observed clinical ADA incidence; checkable by 2030.","Clinical immunogenicity depends on aggregation, formulation, impurities, route, dose interval and patient HLA distribution as much as on sequence, and none of these is captured by an epitope predictor. Innate immune signals and B-cell epitopes are largely unmodelled. Training labels come from assays whose cut-points differ between sponsors.",2020,2027,"Already commercially deployed; the open question is independent validation, not availability.","Deimmunised molecules still generate ADA at clinically relevant rates because aggregation and formulation dominate, and the field concludes that sequence-level prediction addresses a minority of the variance.",C;P,,"antibodies, enzymes, peptides, gene therapy transgene products",E-8029,
T-042,B8,"Integrated in vitro plus in silico DILI battery (liver MPS, spheroids, toxicogenomics reference)","Combine a human liver microphysiological readout, hepatocyte spheroid multi-parameter injury markers and a computational model trained on a large human toxicogenomics reference, so that hepatotoxicity is called on convergent human evidence rather than on any single assay whose sensitivity ceiling is known.",5,"Component assays are individually validated with published performance, and a large-scale human toxicogenomics resource was published in Nature Communications; the integrated battery is validated in a relevant environment but has no agreed decision rule or qualified context of use. [E-8030][E-8086]",FDA CDER; Emulate and CN Bio; academic toxicogenomics consortia; IQ Consortium MPS affiliate; European ToxRisk successors,"A published prospective evaluation in which an integrated battery, with its decision rule fixed in advance, is applied to compounds entering first-in-human and its predictions are compared with subsequent clinical hepatotoxicity; checkable by 2031.","Idiosyncratic DILI is the clinically important form and is immune- and HLA-mediated, which none of the components model. Combining assays with correlated errors does not raise sensitivity as much as the independence assumption suggests, and there is no agreed weighting rule.",2028,2033,Individual components exist now; assembling and prospectively validating a battery with a fixed decision rule is a multi-year exercise that no single organisation currently owns.,"The battery raises sensitivity by flagging more compounds, and because the false-positive rate rises with it, programmes are killed that would have been safe - attrition moves earlier without improving late-stage success.",C;P,B2;B5,small molecule primarily,E-8030;E-8086;E-8003,
T-043,B8,Human iPSC cardiomyocyte assays coupled to in silico proarrhythmia modelling,"Measure multi-ion-channel effects and contractile behaviour in human stem-cell-derived cardiomyocytes and feed them into a mechanistic action potential model, so that proarrhythmic risk is predicted from integrated human electrophysiology rather than from hERG block alone, which is known to misclassify safe multi-channel blockers.",7,"The approach is embedded in the CiPA regulatory-science paradigm, is used in operational safety pharmacology packages and continues to be developed in the 2026 literature; demonstrated in the operational environment without displacing the required in vivo QT assessment. [E-8090][E-8031]","FDA CiPA initiative; Health and Environmental Sciences Institute; Ncardia, FUJIFILM Cellular Dynamics and Axion as platform suppliers; academic cardiac electrophysiology modellers",A regulator accepts an iPSC-cardiomyocyte plus in silico package in place of a thorough QT study or an in vivo telemetry study for a specific programme; checkable by 2030 from ICH E14/S7B question-and-answer implementation and sponsor disclosure.,"iPSC-derived cardiomyocytes remain immature relative to adult myocardium in calcium handling and t-tubule structure; the models predict cellular repolarisation, not tissue-level reentry, which is the actual arrhythmic mechanism; and inter-laboratory variability in the cell products is substantial.",2024,2029,Already in operational use and encoded in ICH implementation questions and answers; the window covers progression from supportive to substitutive evidence.,The assay reduces false positives on hERG-blocking but safe compounds - which was its design purpose - while contributing nothing to the structural and inflammatory cardiotoxicity that dominates late-stage cardiac attrition for oncology agents.,C;P,B5,small molecule; some relevance to kinase inhibitor oncology,E-8090;E-8031,
T-044,B8,Broad in vitro secondary pharmacology panels with target-adverse-reaction association maps,"Screen a candidate against a wide panel of off-targets and interpret hits against an empirical map linking each off-target to adverse reactions observed for marketed drugs, so that an off-target liability is translated into a specific predicted clinical adverse event rather than a generic flag.",8,Panels are a routine third-party service and the target-ADR association resource is published in Nature Communications with a follow-up analysis of clinically discontinued compounds; proven in operations though not required by regulation. [E-8096],Eurofins Cerep; Charles River Laboratories; Novartis and Roche safety pharmacology groups who published the association resource; FDA safety pharmacology reviewers,A published prospective analysis showing that programmes using panel-plus-association-map triage have a lower rate of clinical safety-driven discontinuation than matched programmes that do not; checkable by 2030.,"Panels cover a few hundred targets out of a proteome; potency at an off-target does not translate to clinical effect without free-drug exposure at the relevant tissue, which the panel does not measure; and association maps are confounded because drugs that hit a given off-target share chemotypes and indications.",2010,2026,"Long-established commercial practice; the incremental technology is the association map, which is published and freely usable now.","The panel identifies liabilities that medicinal chemists cannot engineer out without losing primary potency, so the information arrives without an actionable response and programmes proceed anyway.",C;P,,small molecule primarily,E-8096;E-8033,
